,Park,Name,Average_Wait
0,adventureland,dragon slayer,10.0
1,adventureland,flying viking,12.0
2,adventureland,monster,23.0
3,adventureland,outlaw,7.0
4,adventureland,phoenix,11.0
5,adventureland,tornado,0.0
6,adventureland,underground,23.0
7,alton towers,galactica,31.0
8,alton towers,nemesis reborn,33.0
9,alton towers,oblivion,24.0
10,alton towers,octonauts rollercoaster adventure,22.0
11,alton towers,rita,38.0
12,alton towers,runaway mine train,20.0
13,alton towers,smiler,51.0
14,alton towers,spinball whizzer,30.0
15,alton towers,th13teen,41.0
16,alton towers,wicker man,46.0
17,animal kingdom,expedition everest,29.0
18,busch gardens tampa,air grover,3.0
19,busch gardens tampa,cheetah hunt,43.0
20,busch gardens tampa,cobra's curse,35.0
21,busch gardens tampa,iron gwazi,21.0
22,busch gardens tampa,kumba,9.0
23,busch gardens tampa,montu,17.0
24,busch gardens tampa,phoenix rising,12.0
25,busch gardens tampa,sheikra,13.0
26,busch gardens tampa,tigris,12.0
27,busch gardens williamsburg,alpengeist,5.0
28,busch gardens williamsburg,apollo's chariot,5.0
29,busch gardens williamsburg,big bad wolf: the wolf’s revenge,27.0
30,busch gardens williamsburg,darkoaster,15.0
31,busch gardens williamsburg,griffon,7.0
32,busch gardens williamsburg,grover's alpine express,0.0
33,busch gardens williamsburg,invadr,6.0
34,busch gardens williamsburg,loch ness monster,9.0
35,busch gardens williamsburg,pantheon,1.0
36,busch gardens williamsburg,tempesto,6.0
37,busch gardens williamsburg,verbolten,11.0
38,california's great america,demon,20.0
39,california's great america,flight deck,25.0
40,california's great america,gold striker,29.0
41,california's great america,grizzly,27.0
42,california's great america,lucy's crabbie cabbies,17.0
43,california's great america,patriot,14.0
44,california's great america,psycho mouse,34.0
45,california's great america,railblazer,37.0
46,california's great america,woodstock express,0.0
47,canada's wonderland,alpenfury,104.0
48,canada's wonderland,backlot stunt coaster,30.0
49,canada's wonderland,bat,24.0
50,canada's wonderland,behemoth,29.0
51,canada's wonderland,dragon fyre,8.0
52,canada's wonderland,flight deck,13.0
53,canada's wonderland,fly,27.0
54,canada's wonderland,ghoster coaster,24.0
55,canada's wonderland,leviathan,38.0
56,canada's wonderland,mighty canadian minebuster,21.0
57,canada's wonderland,silver streak,19.0
58,canada's wonderland,snoopy's racing railway,40.0
59,canada's wonderland,taxi jam,15.0
60,canada's wonderland,thunder run,23.0
61,canada's wonderland,vortex,29.0
62,canada's wonderland,wilde beast,13.0
63,canada's wonderland,wonder mountain's guardian,37.0
64,canada's wonderland,yukon striker,35.0
65,carowinds,afterburn,18.0
66,carowinds,carolina cyclone,10.0
67,carowinds,carolina goldrusher,18.0
68,carowinds,copperhead strike,22.0
69,carowinds,flying cobras,18.0
70,carowinds,fury 325,23.0
71,carowinds,hurler,12.0
72,carowinds,kiddy hawk,17.0
73,carowinds,ricochet,21.0
74,carowinds,snoopy’s racing railway,21.0
75,carowinds,thunder striker,15.0
76,carowinds,vortex,14.0
77,carowinds,wilderness run,7.0
78,carowinds,woodstock express,12.0
79,cedar point,blue streak,17.0
80,cedar point,cedar creek mine ride,15.0
81,cedar point,corkscrew,14.0
82,cedar point,gatekeeper,23.0
83,cedar point,gemini,18.0
84,cedar point,iron dragon,19.0
85,cedar point,magnum xl-200,16.0
86,cedar point,maverick,55.0
87,cedar point,millennium force,43.0
88,cedar point,raptor,31.0
89,cedar point,rougarou,17.0
90,cedar point,siren’s curse,77.0
91,cedar point,steel vengeance,59.0
92,cedar point,top thrill 2,54.0
93,cedar point,valravn,43.0
94,cedar point,wild mouse,29.0
95,cedar point,wilderness run,0.0
96,cedar point,woodstock express,0.0
97,chessington world of adventures,dragon's fury,49.0
98,chessington world of adventures,mandrill mayhem,0.0
99,chessington world of adventures,rattlesnake,33.0
100,chessington world of adventures,vampire,44.0
101,disney california adventure,goofy's sky school,31.0
102,disney california adventure,incredicoaster,32.0
103,disneyland,big thunder mountain railroad,33.0
104,disneyland,chip & dale’s gadget coaster,23.0
105,disneyland,matterhorn bobsleds,40.0
106,disneyland,space mountain,48.0
107,disneyland paris,big thunder mountain,37.0
108,disneyland paris,"casey jr., le petit train du cirque",15.0
109,disneyland paris,indiana jones et le temple du péril,17.0
110,disneyland paris,star wars hyperspace mountain: rebel mission,26.0
111,disneyland paris - walt disney studios park,avengers assemble: flight force,16.0
112,disneyland paris - walt disney studios park,crush's coaster,66.0
113,disneyland paris - walt disney studios park,rc racer,32.0
114,dollywood,big bear mountain,23.0
115,dollywood,blazing fury,10.0
116,dollywood,dragonflier,22.0
117,dollywood,firechaser express,25.0
118,dollywood,lightning rod,28.0
119,dollywood,mystery mine,19.0
120,dollywood,tennessee tornado,10.0
121,dollywood,thunderhead,12.0
122,dollywood,whistle punk chaser,7.0
123,dollywood,wild eagle,10.0
124,dorney park,hydra the revenge,15.0
125,dorney park,iron menace,17.0
126,dorney park,possessed,8.0
127,dorney park,steel force,11.0
128,dorney park,talon,15.0
129,dorney park,thunderhawk,10.0
130,dorney park,wild mouse,30.0
131,dorney park,woodstock express,0.0
132,efteling,baron 1898,25.0
133,efteling,joris en de draak,27.0
134,efteling,max + moritz,12.0
135,efteling,python,18.0
136,efteling,vliegende hollander,28.0
137,efteling,vogel rok,13.0
138,energylandia,hyperion,2.0
139,energylandia,zadra,2.0
140,epcot,guardians of the galaxy: cosmic rewind,87.0
141,epic universe,curse of the werewolf,48.0
142,epic universe,hiccup's wing gliders,53.0
143,epic universe,mine-cart madness,105.0
144,epic universe,stardust racers,37.0
145,europa park,alpenexpress enzian,15.0
146,europa park,arthur,25.0
147,europa park,atlantica supersplash,11.0
148,europa park,ba-a-a-express,6.0
149,europa park,blue fire megacoaster,20.0
150,europa park,euro mir,15.0
151,europa park,eurosat - cancan coaster,26.0
152,europa park,matterhorn blitz,15.0
153,europa park,pegasus,1.0
154,europa park,poseidon,10.0
155,europa park,schweizer bobbahn,19.0
156,europa park,silver star,20.0
157,europa park,voltron,33.0
158,europa park,wodan timbur coaster,25.0
159,ferrari land,junior red force,3.0
160,ferrari land,red force,24.0
161,frontier city,diamondback,9.0
162,frontier city,frankie's mine train,4.0
163,frontier city,silver bullet,19.0
164,frontier city,steel lasso,13.0
165,frontier city,wildcat,14.0
166,fuji-q highland,eejanaika / ええじゃないか,19.0
167,fuji-q highland,fujiyama / フジヤマ,19.0
168,fuji-q highland,takabisha / 高飛車,19.0
169,fuji-q highland,voyage dans le ciel / リサとガスパールのそらたびにっき,0.0
170,fuji-q highland,zokkon / ぞっこん,19.0
171,gardaland,blue tornado,19.0
172,gardaland,dragon rush,5.0
173,gardaland,mammut,26.0
174,gardaland,oblivion - the black hole,16.0
175,gardaland,ortobruco tour,8.0
176,gardaland,raptor,18.0
177,gardaland,shaman,12.0
178,gröna lund,insane,17.0
179,gröna lund,kvasten,22.0
180,gröna lund,monster,16.0
181,gröna lund,nyckelpigan,19.0
182,gröna lund,tuff-tuff tåget,13.0
183,gröna lund,twister,20.0
184,heide park resort,big loop,12.0
185,heide park resort,bobbahn,20.0
186,heide park resort,colossos - kampf der giganten,25.0
187,heide park resort,desert race,13.0
188,heide park resort,flug der dämonen,21.0
189,heide park resort,grottenblitz,6.0
190,heide park resort,indy-blitz,6.0
191,heide park resort,krake,19.0
192,heide park resort,toxic garden,17.0
193,hersheypark,candymonium,47.0
194,hersheypark,cocoa cruiser,18.0
195,hersheypark,comet,36.0
196,hersheypark,fahrenheit,44.0
197,hersheypark,great bear,37.0
198,hersheypark,jolly rancher remix,32.0
199,hersheypark,laff trakk,45.0
200,hersheypark,lightning racer,14.0
201,hersheypark,skyrush,29.0
202,hersheypark,sooperdooperlooper,28.0
203,hersheypark,storm runner,31.0
204,hersheypark,trailblazer,15.0
205,hersheypark,wild mouse,15.0
206,hersheypark,wildcat's revenge,33.0
207,hollywood studios,rock 'n' roller coaster,54.0
208,hollywood studios,slinky dog dash,74.0
209,hong kong disneyland,big grizzly mountain runaway mine cars / 灰熊山極速礦車,27.0
210,hong kong disneyland,hyperspace mountain / 星战极速穿梭,15.0
211,hong kong disneyland,rc / 冲天遥控车,27.0
212,hong kong disneyland,wandering oaken’s sliding sleighs,33.0
213,islands of adventure,flight of the hippogriff,33.0
214,islands of adventure,hagrid's magical creatures motorbike adventure,103.0
215,islands of adventure,incredible hulk,31.0
216,islands of adventure,pteranodon flyers,33.0
217,islands of adventure,velocicoaster,52.0
218,kennywood,exterminator,33.0
219,kennywood,jack rabbit,16.0
220,kennywood,lil' phantom,0.0
221,kennywood,phantom's revenge,18.0
222,kennywood,racer,15.0
223,kennywood,sky rocket,13.0
224,kennywood,steel curtain,24.0
225,kennywood,thunderbolt,11.0
226,kings dominion,apple zapple,12.0
227,kings dominion,backlot stunt coaster,12.0
228,kings dominion,dominator,14.0
229,kings dominion,flight of fear,25.0
230,kings dominion,great pumpkin coaster,0.0
231,kings dominion,grizzly,7.0
232,kings dominion,pantherian,20.0
233,kings dominion,racer 75,6.0
234,kings dominion,rapterra,27.0
235,kings dominion,reptilian,15.0
236,kings dominion,tumbili,15.0
237,kings dominion,twisted timbers,21.0
238,kings dominion,woodstock express,11.0
239,kings island,adventure express,13.0
240,kings island,banshee,23.0
241,kings island,bat,0.0
242,kings island,beast,33.0
243,kings island,diamondback,30.0
244,kings island,flight of fear,48.0
245,kings island,great pumpkin coaster,0.0
246,kings island,invertigo,20.0
247,kings island,mystic timbers,28.0
248,kings island,orion,30.0
249,kings island,queen city stunt coaster,21.0
250,kings island,racer,8.0
251,kings island,snoopy's soap box racers,19.0
252,kings island,woodstock express,14.0
253,kings island,woodstock’s air rail,17.0
254,knoebels,black diamond,10.0
255,knoebels,flying turns,27.0
256,knoebels,impulse,17.0
257,knoebels,kozmo's kurves,12.0
258,knoebels,phoenix,14.0
259,knoebels,twister,12.0
260,knott's berry farm,coast rider,29.0
261,knott's berry farm,ghostrider,79.0
262,knott's berry farm,hangtime,39.0
263,knott's berry farm,jaguar!,33.0
264,knott's berry farm,pony express,31.0
265,knott's berry farm,sierra sidewinder,36.0
266,knott's berry farm,silver bullet,28.0
267,knott's berry farm,snoopy’s tenderpaw twister coaster,10.0
268,knott's berry farm,xcelerator,44.0
269,la ronde,boomerang,13.0
270,la ronde,dragon,26.0
271,la ronde,ednör - l'attaque,0.0
272,la ronde,goliath,17.0
273,la ronde,marche du mille-pattes,21.0
274,la ronde,monstre,35.0
275,la ronde,toboggan nordique,39.0
276,la ronde,vampire,11.0
277,lake compounce,boulder dash,16.0
278,lake compounce,kiddie coaster,0.0
279,lake compounce,phobia phear coaster,9.0
280,lake compounce,wildcat,18.0
281,lake compounce,zoomerang,9.0
282,legoland billund,flying eagle,21.0
283,legoland billund,polar x-plorer,13.0
284,legoland california,coastersaurus,33.0
285,legoland california,dragon,10.0
286,legoland california,technic coaster,22.0
287,legoland florida,coastersaurus,13.0
288,legoland florida,dragon,12.0
289,legoland florida,great lego race,15.0
290,legoland japan,dragon / ザ・ドラゴン,10.0
291,legoland japan,dragon's apprentice / ドラゴン・アプレンティス,16.0
292,legoland new york,dragon,15.0
293,legoland new york,dragon's apprentice,6.0
294,liseberg,balder,14.0
295,liseberg,helix,16.0
296,liseberg,lisebergbanan,9.0
297,liseberg,luna,15.0
298,liseberg,rabalder,10.0
299,liseberg,stampbanan,9.0
300,liseberg,valkyria,14.0
301,magic kingdom,barnstormer,17.0
302,magic kingdom,seven dwarfs mine train,63.0
303,magic kingdom,space mountain,43.0
304,magic kingdom,tron lightcycle / run,78.0
305,michigan's adventure,corkscrew,0.0
306,michigan's adventure,mad mouse,35.0
307,michigan's adventure,shivering timbers,27.0
308,michigan's adventure,thunderhawk,22.0
309,michigan's adventure,wolverine wildcat,26.0
310,michigan's adventure,woodstock express,0.0
311,michigan's adventure,zach's zoomer,0.0
312,parque de atracciones,abismo,12.0
313,parque de atracciones,padrinos voladores,0.0
314,parque de atracciones,paw patrol: patrulla canina,0.0
315,parque de atracciones,tarántula,9.0
316,parque de atracciones,tnt tren de la mina,10.0
317,parque de atracciones,tornado,3.0
318,parque warner madrid,batman gotham city escape,13.0
319,parque warner madrid,coaster express,11.0
320,parque warner madrid,stunt fall,4.0
321,parque warner madrid,superman / la atracción de acero,11.0
322,parque warner madrid,tom y jerry,9.0
323,phantasialand,black mamba,14.0
324,phantasialand,colorado adventure,10.0
325,phantasialand,crazy bats,15.0
326,phantasialand,f.l.y.,18.0
327,phantasialand,raik,11.0
328,phantasialand,taron,22.0
329,phantasialand,winjas,13.0
330,pleasure beach blackpool,avalanche,20.0
331,pleasure beach blackpool,big dipper,20.0
332,pleasure beach blackpool,big one,27.0
333,pleasure beach blackpool,blue flyer,6.0
334,pleasure beach blackpool,grand national,13.0
335,pleasure beach blackpool,icon,22.0
336,pleasure beach blackpool,infusion,16.0
337,pleasure beach blackpool,nickelodeon streak,17.0
338,pleasure beach blackpool,revolution,12.0
339,pleasure beach blackpool,steeplechase,15.0
340,port adventura,diablo - tren de la mina,0.0
341,port adventura,dragon khan,19.0
342,port adventura,furius baco,29.0
343,port adventura,shambhala,25.0
344,port adventura,stampida,39.0
345,port adventura,tami-tami,8.0
346,port adventura,tomahawk,14.0
347,port adventura,uncharted: the enigma of penitence,1.0
348,seaworld orlando,ice breaker,14.0
349,seaworld orlando,journey to atlantis,14.0
350,seaworld orlando,kraken,7.0
351,seaworld orlando,mako,10.0
352,seaworld orlando,manta,14.0
353,seaworld orlando,penguin trek,25.0
354,seaworld orlando,pipeline: the surf coaster,22.0
355,seaworld orlando,super grover's box car derby,6.0
356,seaworld san antonio,beach rescue racer,3.0
357,seaworld san antonio,great white,4.0
358,seaworld san antonio,journey to atlantis,8.0
359,seaworld san antonio,steel eel,4.0
360,seaworld san antonio,texas stingray,4.0
361,seaworld san antonio,wave breaker: the rescue coaster,11.0
362,seaworld san diego,arctic rescue,14.0
363,seaworld san diego,electric eel,14.0
364,seaworld san diego,emperor,10.0
365,seaworld san diego,journey to atlantis,17.0
366,seaworld san diego,manta,17.0
367,shanghai disneyland,rex's racer / 抱抱龙冲天赛车,39.0
368,shanghai disneyland,seven dwarfs mine train / 七个小矮人矿山车,54.0
369,shanghai disneyland,tron lightcycle power run / 创极速光轮,37.0
370,silver dollar city,fire in the hole,13.0
371,silver dollar city,grand exposition coaster,10.0
372,silver dollar city,outlaw run,8.0
373,silver dollar city,powder keg: a blast in the wilderness,27.0
374,silver dollar city,thunderation,9.0
375,silver dollar city,time traveler,25.0
376,silver dollar city,wildfire,7.0
377,six flags darien lake,boomerang,1.0
378,six flags darien lake,hoot n holler,0.0
379,six flags darien lake,mind eraser,7.0
380,six flags darien lake,moto coaster,7.0
381,six flags darien lake,predator,6.0
382,six flags darien lake,ride of steel,11.0
383,six flags darien lake,tantrum,10.0
384,six flags darien lake,viper,8.0
385,six flags discovery kingdom,batman the ride,30.0
386,six flags discovery kingdom,boomerang,17.0
387,six flags discovery kingdom,cobra,8.0
388,six flags discovery kingdom,flash: vertical velocity,13.0
389,six flags discovery kingdom,joker,40.0
390,six flags discovery kingdom,kong,18.0
391,six flags discovery kingdom,medusa,26.0
392,six flags discovery kingdom,roadrunner express,7.0
393,six flags discovery kingdom,sidewinder safari,33.0
394,six flags discovery kingdom,superman ultimate flight,27.0
395,six flags fiesta texas,batgirl coaster chase,1.0
396,six flags fiesta texas,batman the ride,15.0
397,six flags fiesta texas,boomerang coast to coaster,23.0
398,six flags fiesta texas,chupacabra,13.0
399,six flags fiesta texas,dr. diabolical's cliffhanger,6.0
400,six flags fiesta texas,iron rattler,30.0
401,six flags fiesta texas,pandemonium,14.0
402,six flags fiesta texas,poltergeist,19.0
403,six flags fiesta texas,road runner express,18.0
404,six flags fiesta texas,superman krypton coaster,16.0
405,six flags fiesta texas,wonder woman golden lasso coaster,28.0
406,six flags great adventure & safari,batman the ride,14.0
407,six flags great adventure & safari,dark knight,12.0
408,six flags great adventure & safari,el toro,14.0
409,six flags great adventure & safari,flash: vertical velocity,0.0
410,six flags great adventure & safari,harley quinn crazy train,8.0
411,six flags great adventure & safari,jersey devil coaster,17.0
412,six flags great adventure & safari,joker,21.0
413,six flags great adventure & safari,lil' devil coaster,0.0
414,six flags great adventure & safari,medusa,9.0
415,six flags great adventure & safari,nitro,20.0
416,six flags great adventure & safari,runaway mine train,7.0
417,six flags great adventure & safari,skull mountain,11.0
418,six flags great adventure & safari,superman - ultimate flight,26.0
419,six flags great america,american eagle,19.0
420,six flags great america,batman the ride,25.0
421,six flags great america,dark knight,30.0
422,six flags great america,demon,12.0
423,six flags great america,flash: vertical velocity,21.0
424,six flags great america,goliath,38.0
