,Chain,Park,Name,Height,Speed,Length,Inversions,URL
34,Cedar Fair,Carowinds,Snoopy’s Racing Railway,,31.1 mph,,0,https://rcdb.com/22011.htm
42,Cedar Fair,Carowinds,Wilderness Run,16 ft,,416 ft,0,https://rcdb.com/498.htm
44,Cedar Fair,Carowinds,Woodstock Express,,,1356 ft,0,https://rcdb.com/82.htm
47,Cedar Fair,Canada's Wonderland,Snoopy's Racing Railway,,31.1 mph,,0,https://rcdb.com/20343.htm
52,Cedar Fair,Canada's Wonderland,Wonder Mountain's Guardian,60 ft,,1000 ft,0,https://rcdb.com/12140.htm
56,Cedar Fair,Canada's Wonderland,Taxi Jam,,,,0,https://rcdb.com/506.htm
66,Cedar Fair,Knott's Berry Farm,Snoopy’s Tenderpaw Twister Coaster,,,,0,https://rcdb.com/21371.htm
78,Cedar Fair,California's Great America,Psycho Mouse,,,1257 ft,0,https://rcdb.com/1036.htm
79,Cedar Fair,California's Great America,Woodstock Express,,,1300 ft,0,https://rcdb.com/78.htm
81,Cedar Fair,California's Great America,Lucy's Crabbie Cabbies,,,,0,https://rcdb.com/536.htm
86,Cedar Fair,Kings Dominion,Great Pumpkin Coaster,,,,0,https://rcdb.com/456.htm
91,Cedar Fair,Kings Dominion,Reptilian,,41 mph,,0,https://rcdb.com/282.htm
120,Cedar Fair,Michigan's Adventure,Woodstock Express,16.1 ft,,,0,https://rcdb.com/15124.htm
123,Cedar Fair,Michigan's Adventure,Mad Mouse,68 ft,,1268 ft,0,https://rcdb.com/537.htm
124,Cedar Fair,Michigan's Adventure,Zach's Zoomer,41 ft,,1400 ft,0,https://rcdb.com/415.htm
139,Six Flags,Six Flags Magic Mountain,Speedy Gonzales Hot Rod Racers,13.1 ft,,262.5 ft,0,https://rcdb.com/9971.htm
147,Six Flags,Six Flags Great Adventure & Safari,Runaway Mine Train,60 ft,38 mph,,0,https://rcdb.com/131.htm
150,Six Flags,Six Flags Great Adventure & Safari,Lil' Devil Coaster,13 ft,,262.5 ft,0,https://rcdb.com/19460.htm
153,Six Flags,Six Flags Great Adventure & Safari,Dark Knight,,,1213 ft,0,https://rcdb.com/4047.htm
154,Six Flags,Six Flags Great Adventure & Safari,Flash: Vertical Velocity,,59 mph,1430.4 ft,2,https://rcdb.com/21088.htm
173,Six Flags,Six Flags Great America,Dark Knight,,,1213 ft,0,https://rcdb.com/4046.htm
181,Six Flags,Six Flags Over Texas,Wile E. Coyote's Grand Canyon Blaster,16.1 ft,15 mph,,0,https://rcdb.com/1117.htm
189,Six Flags,Six Flags Fiesta Texas,Batgirl Coaster Chase,,,278.9 ft,0,https://rcdb.com/207.htm
199,Six Flags,Six Flags Over Georgia,Joker Funhouse Coaster,,30 mph,900 ft,0,https://rcdb.com/2655.htm
210,Six Flags,Six Flags New England,Great Chase,,,,0,https://rcdb.com/183.htm
219,Six Flags,Six Flags New England,Pandemonium,42 ft,,,0,https://rcdb.com/3031.htm
222,Six Flags,Six Flags Discovery Kingdom,Roadrunner Express,13 ft,,262.5 ft,0,https://rcdb.com/572.htm
259,Six Flags,La Ronde,Marche du Mille-pattes,,,,0,https://rcdb.com/191.htm
260,Six Flags,La Ronde,Dragon,,,,0,https://rcdb.com/190.htm
266,Six Flags,Frontier City,Frankie's Mine Train,,,262.5 ft,0,https://rcdb.com/16589.htm
273,Six Flags,Six Flags Mexico,Dark Knight,,,1213 ft,0,https://rcdb.com/4320.htm
275,Six Flags,Six Flags Mexico,Speedway Stunt Coaster,,,,0,https://rcdb.com/22244.htm
292,Legoland,Legoland New York,Dragon,,,,0,https://rcdb.com/14430.htm
293,Legoland,Legoland New York,Dragon's Apprentice,13.1 ft,,262.5 ft,0,https://rcdb.com/17779.htm
294,Legoland,Legoland Billund,Dragen,,,,0,https://rcdb.com/1475.htm
302,Legoland,Legoland Dubai,Dragon,52.5 ft,37.3 mph,,0,https://rcdb.com/13463.htm
303,Legoland,Legoland Dubai,Dragon's Apprentice,,,,0,https://rcdb.com/13663.htm
304,Legoland,Legoland Japan,Dragon's Apprentice / ドラゴン・アプレンティス,,,,0,https://rcdb.com/13842.htm
